operation,file_size_mb,client_pool_size,server_pool_size,executor_type,success_count,fail_count,avg_duration,median_duration,min_duration,max_duration,avg_throughput,median_throughput,min_throughput,max_throughput,timestamp
upload,10,1,5,thread,1,0,0.4423549175262451,0.4423549175262451,0.4423549175262451,0.4423549175262451,23704404.73147419,23704404.73147419,23704404.73147419,23704404.73147419,2025-05-24 13:35:37
upload,10,5,5,thread,5,0,0.47915496826171877,0.4767892360687256,0.46891212463378906,0.4891960620880127,21890214.480519284,21992442.796021,21434677.857471135,22361887.11944518,2025-05-24 13:35:38
upload,10,50,5,thread,50,0,2.421274333000183,2.440698981285095,1.600473165512085,3.0959982872009277,4484815.599207731,4296218.634052384,3386875.2587328167,6551662.487040195,2025-05-24 13:35:42
upload,50,1,5,thread,1,0,1.7566380500793457,1.7566380500793457,1.7566380500793457,1.7566380500793457,29846102.89958813,29846102.89958813,29846102.89958813,29846102.89958813,2025-05-24 13:35:43
upload,50,5,5,thread,5,0,9.120184278488159,9.139163732528687,8.744137287139893,9.454818725585938,5754949.054041304,5736717.443127987,5545193.569721335,5995880.242766506,2025-05-24 13:35:53
upload,50,50,5,thread,50,0,54.20207136154175,54.958667159080505,37.05609369277954,71.05451989173889,1003920.6338064537,954384.2521253934,737867.2050684787,1414849.6178434442,2025-05-24 13:37:06
upload,100,1,5,thread,1,0,5.176236629486084,5.176236629486084,5.176236629486084,5.176236629486084,20257497.387713253,20257497.387713253,20257497.387713253,20257497.387713253,2025-05-24 13:37:11
upload,100,5,5,thread,5,0,16.04105677604675,16.030938625335693,15.71004581451416,16.359600067138672,6538304.961114649,6540951.996053459,6409545.439354974,6674557.237963266,2025-05-24 13:37:28
upload,100,50,5,thread,50,0,147.67440126419066,152.68760550022125,72.77275133132935,201.0738627910614,767913.2397205872,687514.5359688975,521487.96737922606,1440890.9664908852,2025-05-24 13:41:16
download,10,1,5,thread,1,0,0.1895136833190918,0.1895136833190918,0.1895136833190918,0.1895136833190918,55329830.62940476,55329830.62940476,55329830.62940476,55329830.62940476,2025-05-24 17:14:45
download,10,5,5,thread,5,0,0.3513209819793701,0.3892076015472412,0.12965106964111328,0.5033960342407227,37562960.60103381,26941303.19735613,20830040.93549481,80876772.00832665,2025-05-24 17:14:46
download,10,50,5,thread,50,0,1.9397122716903688,1.912002444267273,0.08577585220336914,3.5831761360168457,12701641.81836412,5484230.665724656,2926386.982375991,122246060.2914084,2025-05-24 17:14:49
download,50,1,5,thread,1,0,0.5966906547546387,0.5966906547546387,0.5966906547546387,0.5966906547546387,87865964.6874458,87865964.6874458,87865964.6874458,87865964.6874458,2025-05-24 17:14:51
download,50,5,5,thread,5,0,3.0432890892028808,3.0627591609954834,2.6643059253692627,3.3627545833587646,17365456.486754775,17118159.55615627,15591027.742391301,19678220.69559582,2025-05-24 17:14:55
download,50,50,5,thread,50,0,13.713280806541443,13.500866055488586,1.2524011135101318,24.99118971824646,6273115.702574755,3883772.744034392,2097891.3205448925,41862626.46561904,2025-05-24 17:15:22
download,100,1,5,thread,1,0,1.7511990070343018,1.7511990070343018,1.7511990070343018,1.7511990070343018,59877603.61832257,59877603.61832257,59877603.61832257,59877603.61832257,2025-05-24 17:15:28
download,100,5,5,thread,5,0,8.813641262054443,9.47144341468811,5.851375341415405,10.256863594055176,12397752.98771226,11070920.809956918,10223164.131847762,17920163.01839829,2025-05-24 17:15:42
download,100,50,5,thread,50,0,48.05093194007873,44.47586131095886,2.9911959171295166,93.60326194763184,4062448.9351724167,2357874.2046949817,1120234.4642504512,35055410.245620415,2025-05-24 17:17:21
