operation,file_size_mb,client_pool_size,server_pool_size,executor_type,success_count,fail_count,avg_duration,median_duration,min_duration,max_duration,avg_throughput,median_throughput,min_throughput,max_throughput,timestamp
upload,10,1,5,process,1,0,0.26118922233581543,0.26118922233581543,0.26118922233581543,0.26118922233581543,40146220.0707435,40146220.0707435,40146220.0707435,40146220.0707435,2025-05-24 18:05:12
upload,10,5,5,process,5,0,0.20634312629699708,0.2102067470550537,0.18924236297607422,0.22959184646606445,51078099.48119707,49883080.09568195,45671308.28641984,55409158.05054552,2025-05-24 18:05:12
upload,10,50,5,process,50,0,1.0584724617004395,1.0477861166000366,0.3337380886077881,1.7451348304748535,11360966.307518596,10008183.008829135,6008567.256174018,31419128.825667113,2025-05-24 18:05:14
upload,50,1,5,process,1,0,1.3545401096343994,1.3545401096343994,1.3545401096343994,1.3545401096343994,38705978.23356514,38705978.23356514,38705978.23356514,38705978.23356514,2025-05-24 18:05:15
upload,50,5,5,process,5,0,2.3390634059906006,2.3803675174713135,2.211242437362671,2.400404691696167,22435218.976217072,22025506.404026046,21841650.360611867,23710109.35487081,2025-05-24 18:05:18
upload,50,50,5,process,50,0,26.979093222618104,26.95680594444275,17.20817804336548,35.57405233383179,2032231.828637125,1945232.8499183885,1473793.3004652085,3046737.421467675,2025-05-24 18:05:54
upload,100,1,5,process,1,0,4.753400087356567,4.753400087356567,4.753400087356567,4.753400087356567,22059493.851339743,22059493.851339743,22059493.851339743,22059493.851339743,2025-05-24 18:05:58
upload,100,5,5,process,5,0,7.721883153915405,7.747395753860474,7.474746227264404,7.877238750457764,13584476.85338873,13534560.945560344,13311466.53310546,14028248.827703094,2025-05-24 18:06:06
upload,100,50,5,process,50,0,139.10584770679475,140.31758725643158,98.92539119720459,176.5001757144928,778977.19855155,747708.401557144,594093.4595420344,1059966.493243072,2025-05-24 18:09:03
download,10,1,5,process,1,0,0.17493653297424316,0.17493653297424316,0.17493653297424316,0.17493653297424316,59940367.067546,59940367.067546,59940367.067546,59940367.067546,2025-05-24 18:09:20
download,10,5,5,process,5,0,0.18757410049438478,0.19466018676757812,0.1636345386505127,0.20719218254089355,56501039.36538773,53866998.558466755,50608859.2311171,64080359.11290875,2025-05-24 18:09:20
download,10,50,5,process,50,0,0.972108678817749,0.9786616563796997,0.15780305862426758,1.689056634902954,16363413.330999147,10716296.839197267,6208057.079508448,66448395.17950547,2025-05-24 18:09:22
download,50,1,5,process,1,0,0.6036555767059326,0.6036555767059326,0.6036555767059326,0.6036555767059326,86852175.35154222,86852175.35154222,86852175.35154222,86852175.35154222,2025-05-24 18:09:24
download,50,5,5,process,5,0,0.9731726169586181,0.9826843738555908,0.9335601329803467,0.9895434379577637,53898078.66510017,53352634.26881825,52982818.12489549,56160067.41057325,2025-05-24 18:09:26
download,50,50,5,process,50,0,6.003182263374328,5.904260635375977,0.9843370914459229,11.042832374572754,14351396.259295816,8885565.46250073,4747767.440599991,53263054.34958845,2025-05-24 18:09:38
download,100,1,5,process,1,0,1.780900001525879,1.780900001525879,1.780900001525879,1.780900001525879,58878993.716748714,58878993.716748714,58878993.716748714,58878993.716748714,2025-05-24 18:09:44
download,100,5,5,process,5,0,2.631782627105713,2.620875835418701,2.5885090827941895,2.671372413635254,39848911.14795983,40008610.32138455,39252333.169566505,40508878.52663454,2025-05-24 18:09:50
download,100,50,5,process,50,0,20.494032502174377,21.425128698349,2.690514087677002,36.33976197242737,9092393.80877371,4913618.95784636,2885478.448635966,38973072.27650845,2025-05-24 18:10:30
