operation,file_size_mb,client_pool_size,server_pool_size,executor_type,success_count,fail_count,avg_duration,median_duration,min_duration,max_duration,avg_throughput,median_throughput,min_throughput,max_throughput,timestamp
upload,10,1,50,thread,1,0,0.2752833366394043,0.2752833366394043,0.2752833366394043,0.2752833366394043,38090790.848468155,38090790.848468155,38090790.848468155,38090790.848468155,2025-05-24 17:19:41
upload,10,5,50,thread,5,0,0.5983847141265869,0.6328434944152832,0.5397920608520508,0.637202262878418,17627696.424362436,16569278.332691617,16455936.538318204,19425554.320766483,2025-05-24 17:19:42
upload,10,50,50,thread,50,0,8.223939638137818,8.872845888137817,3.7655720710754395,9.818340063095093,1348769.826259775,1181781.007340491,1067976.8609170085,2784639.3063472263,2025-05-24 17:19:52
upload,50,1,50,thread,1,0,2.2188801765441895,2.2188801765441895,2.2188801765441895,2.2188801765441895,23628495.379888248,23628495.379888248,23628495.379888248,23628495.379888248,2025-05-24 17:19:54
upload,50,5,50,thread,5,0,5.763462018966675,5.711805582046509,5.505392551422119,5.9841461181640625,9105007.706014035,9179023.908796113,8761283.391937824,9523171.964632552,2025-05-24 17:20:00
upload,50,50,50,thread,50,0,109.6550460100174,110.86677825450897,88.19919013977051,120.75153040885925,480908.9255417392,472901.7623891576,434187.457686693,594436.2971691161,2025-05-24 17:22:01
upload,100,1,50,thread,1,0,4.915924549102783,4.915924549102783,4.915924549102783,4.915924549102783,21330189.05246172,21330189.05246172,21330189.05246172,21330189.05246172,2025-05-24 17:22:06
upload,100,5,50,thread,5,0,17.412311029434203,17.58241105079651,16.156023263931274,17.871999979019165,6030648.53755034,5963778.215459808,5867144.142966516,6490310.040224887,2025-05-24 17:22:24
upload,100,50,50,thread,50,0,458.1148289489746,468.20849084854126,360.5940201282501,489.6229066848755,229958.00086780288,223954.97717532446,214159.91484133533,290791.28922522336,2025-05-24 17:30:37
download,10,1,50,thread,1,0,0.8775832653045654,0.8775832653045654,0.8775832653045654,0.8775832653045654,11948450.26626723,11948450.26626723,11948450.26626723,11948450.26626723,2025-05-24 17:48:10
download,10,5,50,thread,5,0,2.5345685958862303,2.5711395740509033,2.361870765686035,2.712531089782715,4147845.981214643,4078253.901821202,3865673.6652703043,4439599.385512644,2025-05-24 17:48:14
download,10,50,50,thread,50,0,15.051140556335449,16.090046286582947,6.199481964111328,18.752350091934204,748225.1708207497,651695.2966070641,559170.4478954963,1691392.935845583,2025-05-24 17:48:33
download,50,1,50,thread,1,0,0.5866806507110596,0.5866806507110596,0.5866806507110596,0.5866806507110596,89365142.58047552,89365142.58047552,89365142.58047552,89365142.58047552,2025-05-24 17:48:35
download,50,5,50,thread,5,0,2.946189785003662,3.018364429473877,2.294633150100708,3.2963438034057617,18099326.252955098,17369937.005631465,15905137.063018395,22848445.294054512,2025-05-24 17:48:39
download,50,50,50,thread,50,0,26.972046422958375,32.97910213470459,1.5135831832885742,39.70418882369995,3893552.701749828,1589790.205232847,1320485.358177235,34638862.65311664,2025-05-24 17:49:20
download,100,1,50,thread,1,0,1.700148582458496,1.700148582458496,1.700148582458496,1.700148582458496,61675550.644150704,61675550.644150704,61675550.644150704,61675550.644150704,2025-05-24 17:49:27
download,100,5,50,thread,5,0,8.046888256072998,8.747045755386353,4.787798166275024,9.4573495388031,13877375.336732836,11987773.121619906,11087419.32079107,21901006.758933768,2025-05-24 17:49:40
download,100,50,50,thread,50,0,125.10825397491455,130.002086520195,5.259902238845825,186.98427724838257,1959951.7184713199,810223.3277506446,560782.9788849641,19935275.455425344,2025-05-24 17:52:53
